issueKey,type,createdDateEpoch,resolvedDateEpoch
FLINK-10182,Bug,2018-08-20 23:40:32,
FLINK-10183,Bug,2018-08-21 00:00:15,
FLINK-10184,Bug,2018-08-21 00:25:57,2018-09-27 15:14:22
FLINK-10185,Improvement,2018-08-21 06:24:14,2018-09-12 22:51:45
FLINK-10186,Improvement,2018-08-21 09:28:54,2018-09-03 16:48:07
FLINK-10187,Bug,2018-08-21 14:27:38,2018-08-22 06:26:36
FLINK-10188,Bug,2018-08-21 14:51:53,2019-01-30 18:41:19
FLINK-10189,Bug,2018-08-21 19:19:04,2018-08-29 23:15:33
FLINK-10190,Bug,2018-08-21 21:55:30,
FLINK-10191,Bug,2018-08-21 22:28:41,2018-11-22 00:49:13
FLINK-10192,Bug,2018-08-21 23:27:38,2018-08-28 16:58:22
FLINK-10193,Bug,2018-08-22 01:55:49,2018-09-07 21:42:53
FLINK-10194,Bug,2018-08-22 02:31:39,
FLINK-10195,Bug,2018-08-22 09:21:47,
FLINK-10196,New Feature,2018-08-22 15:47:22,
FLINK-10197,Bug,2018-08-22 17:22:00,2018-08-22 17:27:32
FLINK-10198,Improvement,2018-08-22 21:53:25,
FLINK-10199,Bug,2018-08-22 23:23:39,
FLINK-10200,Improvement,2018-08-22 23:33:24,
FLINK-10201,Test,2018-08-23 10:54:40,2018-08-25 09:34:49
FLINK-10202,Improvement,2018-08-23 16:20:55,2018-08-26 13:08:44
FLINK-10203,Bug,2018-08-23 21:41:52,
FLINK-10204,Bug,2018-08-24 05:09:35,2018-08-27 16:40:39
FLINK-10205,Sub-task,2018-08-24 10:19:38,2019-04-10 17:46:46
FLINK-10206,New Feature,2018-08-24 15:05:39,
FLINK-10207,Sub-task,2018-08-24 16:48:40,2018-08-30 04:17:14
FLINK-10208,Sub-task,2018-08-24 16:50:26,2018-10-08 19:39:59
FLINK-10209,Sub-task,2018-08-24 16:51:35,2018-10-01 21:33:26
FLINK-10210,Bug,2018-08-24 20:25:07,
FLINK-10211,Bug,2018-08-24 20:26:25,
FLINK-10212,New Feature,2018-08-25 01:38:06,
FLINK-10213,Bug,2018-08-25 06:49:36,
FLINK-10214,Task,2018-08-25 11:00:15,2018-08-25 17:28:49
FLINK-10215,Improvement,2018-08-25 16:19:08,2018-09-17 18:06:19
FLINK-10216,Sub-task,2018-08-25 22:22:42,
FLINK-10217,Task,2018-08-25 22:42:44,2018-08-26 18:08:14
FLINK-10218,Improvement,2018-08-26 18:03:28,2018-08-27 18:56:32
FLINK-10219,Task,2018-08-26 19:05:19,2018-08-27 17:03:12
FLINK-10220,Bug,2018-08-27 16:06:07,2018-10-25 00:05:44
FLINK-10221,Bug,2018-08-27 16:26:01,2018-08-27 16:32:49
FLINK-10222,Bug,2018-08-27 17:45:34,2018-11-06 06:52:33
FLINK-10223,Improvement,2018-08-27 19:27:38,2018-09-14 03:44:58
FLINK-10224,Bug,2018-08-27 19:28:38,
FLINK-10225,Bug,2018-08-27 20:14:42,
FLINK-10226,Improvement,2018-08-27 20:34:08,2019-05-09 16:10:17
FLINK-10227,Sub-task,2018-08-27 21:19:23,2018-10-09 22:38:05
FLINK-10228,Improvement,2018-08-28 01:41:55,
FLINK-10229,New Feature,2018-08-28 15:51:48,
FLINK-10230,New Feature,2018-08-28 16:02:29,
FLINK-10231,Sub-task,2018-08-28 16:08:32,
FLINK-10232,New Feature,2018-08-28 16:31:58,
FLINK-10233,Improvement,2018-08-28 16:45:36,2018-08-29 01:23:54
FLINK-10234,Sub-task,2018-08-28 19:54:58,2018-09-24 18:13:34
FLINK-10235,Sub-task,2018-08-28 20:20:05,2018-11-19 16:03:55
FLINK-10236,Sub-task,2018-08-28 23:52:48,2019-06-25 20:45:32
FLINK-10237,Improvement,2018-08-29 00:56:14,2018-08-29 01:47:11
FLINK-10238,Improvement,2018-08-29 01:48:47,2018-08-29 18:40:29
FLINK-10239,Improvement,2018-08-29 11:59:00,
FLINK-10240,New Feature,2018-08-29 14:43:07,
FLINK-10241,Improvement,2018-08-29 15:09:51,
FLINK-10242,Sub-task,2018-08-29 15:14:12,2018-10-25 17:35:05
FLINK-10243,Sub-task,2018-08-29 15:20:24,2018-10-10 18:06:55
FLINK-10244,Sub-task,2018-08-29 15:25:26,
FLINK-10245,Sub-task,2018-08-29 15:44:32,2019-07-11 22:51:05
FLINK-10246,Improvement,2018-08-29 15:46:21,2018-12-11 23:24:32
FLINK-10247,Sub-task,2018-08-29 15:48:07,2018-10-17 06:36:03
FLINK-10248,Sub-task,2018-08-29 16:15:43,
FLINK-10249,Improvement,2018-08-29 16:34:46,
FLINK-10250,Improvement,2018-08-29 16:41:00,2018-08-29 16:51:17
FLINK-10251,Improvement,2018-08-29 17:01:31,2019-01-24 18:34:58
FLINK-10252,Sub-task,2018-08-29 17:02:13,2018-12-11 23:23:47
FLINK-10253,Sub-task,2018-08-29 17:03:29,2018-10-17 21:18:13
FLINK-10254,Improvement,2018-08-29 19:45:23,2018-09-06 16:24:36
FLINK-10255,Bug,2018-08-29 21:39:23,2018-09-14 21:17:24
FLINK-10256,Improvement,2018-08-29 23:55:59,2018-11-21 01:11:55
FLINK-10257,Sub-task,2018-08-30 21:04:57,
FLINK-10258,Bug,2018-08-30 21:35:40,
FLINK-10259,Bug,2018-08-30 21:38:33,2018-10-19 17:10:19
FLINK-10260,Improvement,2018-08-30 23:01:52,2018-09-21 17:26:43
FLINK-10261,Bug,2018-08-30 23:18:14,2018-09-06 22:44:26
FLINK-10262,Bug,2018-08-30 23:49:03,
FLINK-10263,Bug,2018-08-30 23:56:30,2018-09-26 16:18:35
FLINK-10264,Bug,2018-08-31 00:13:54,
FLINK-10265,New Feature,2018-08-31 00:39:38,
FLINK-10266,Bug,2018-08-31 00:46:44,
FLINK-10267,Bug,2018-08-31 01:29:24,2018-09-11 21:47:23
FLINK-10268,Improvement,2018-08-31 02:50:59,
FLINK-10269,Bug,2018-08-31 14:20:30,2018-09-13 19:28:33
FLINK-10270,Improvement,2018-08-31 14:27:40,2018-08-31 23:30:37
FLINK-10271,Bug,2018-08-31 17:43:57,2018-09-13 19:29:05
FLINK-10272,Improvement,2018-08-31 19:19:26,
FLINK-10273,Bug,2018-08-31 20:29:43,
FLINK-10274,Bug,2018-09-01 00:23:47,
FLINK-10275,Improvement,2018-09-01 01:28:13,2018-10-19 22:44:42
FLINK-10276,New Feature,2018-09-01 05:33:49,
FLINK-10277,Sub-task,2018-09-03 11:30:07,
FLINK-10278,Bug,2018-09-04 02:24:03,2018-09-04 02:42:51
FLINK-10279,Task,2018-09-04 06:19:20,2018-10-05 17:53:51
FLINK-10280,Bug,2018-09-05 10:36:41,
FLINK-10281,Bug,2018-09-05 11:30:12,2018-09-12 22:19:54
FLINK-10282,Improvement,2018-09-05 17:58:33,2018-10-15 18:17:00
FLINK-10283,Bug,2018-09-05 18:47:18,2018-09-06 16:38:38
FLINK-10284,Bug,2018-09-05 20:21:20,
FLINK-10285,Sub-task,2018-09-05 20:40:50,2019-05-24 16:01:28
FLINK-10286,Bug,2018-09-05 22:27:47,
FLINK-10287,Bug,2018-09-05 22:50:11,
FLINK-10288,Improvement,2018-09-06 15:17:54,
FLINK-10289,Sub-task,2018-09-06 15:21:48,2018-10-09 16:19:25
FLINK-10290,Bug,2018-09-06 16:08:03,
FLINK-10291,Improvement,2018-09-06 16:15:47,2018-10-01 19:38:36
FLINK-10292,Improvement,2018-09-06 16:21:59,
FLINK-10293,Bug,2018-09-06 16:24:04,2018-09-07 23:27:28
FLINK-10294,Improvement,2018-09-06 17:17:12,
FLINK-10295,Bug,2018-09-06 17:28:46,2018-10-09 22:42:34
FLINK-10296,Bug,2018-09-07 03:15:15,
FLINK-10297,Bug,2018-09-07 16:19:51,
FLINK-10298,Sub-task,2018-09-07 17:38:32,
FLINK-10299,Bug,2018-09-07 17:47:25,2018-12-03 19:29:13
FLINK-10300,Bug,2018-09-07 19:09:06,2018-10-25 17:07:31
FLINK-10301,Improvement,2018-09-07 19:38:15,2018-09-13 17:04:01
FLINK-10302,Improvement,2018-09-07 22:56:35,2018-09-21 10:15:03
FLINK-10303,Improvement,2018-09-08 00:07:41,
FLINK-10304,Improvement,2018-09-08 00:16:42,2019-01-18 03:22:10
FLINK-10305,Bug,2018-09-08 02:31:18,
FLINK-10306,Improvement,2018-09-08 17:35:02,
FLINK-10307,Task,2018-09-09 10:33:28,2018-09-20 16:50:46
FLINK-10308,Task,2018-09-09 10:53:34,
FLINK-10309,Bug,2018-09-09 15:54:05,2018-11-22 01:05:18
FLINK-10310,New Feature,2018-09-10 14:53:31,2018-11-22 01:02:46
FLINK-10311,Improvement,2018-09-10 15:57:43,2018-09-29 19:05:21
FLINK-10312,Improvement,2018-09-10 16:04:51,2018-10-17 16:41:06
FLINK-10313,Bug,2018-09-10 16:29:11,2018-09-10 16:42:28
FLINK-10314,Bug,2018-09-10 16:31:35,2018-09-15 06:04:44
FLINK-10315,Improvement,2018-09-10 21:47:35,2019-08-01 21:35:03
FLINK-10316,Bug,2018-09-11 05:26:34,2018-10-10 17:13:56
FLINK-10317,Bug,2018-09-11 16:28:46,
FLINK-10318,Improvement,2018-09-11 17:44:03,
FLINK-10319,Improvement,2018-09-12 11:51:28,2019-02-25 20:18:19
FLINK-10320,Improvement,2018-09-12 13:48:26,
FLINK-10321,Sub-task,2018-09-12 14:15:28,2018-11-08 13:48:05
FLINK-10322,Improvement,2018-09-12 14:30:55,2018-09-12 17:21:15
FLINK-10323,Bug,2018-09-12 17:49:26,2018-09-12 18:01:09
FLINK-10324,Sub-task,2018-09-12 17:58:04,2018-09-19 19:59:37
FLINK-10325,Improvement,2018-09-12 20:28:28,2018-09-15 02:38:19
FLINK-10326,Improvement,2018-09-12 22:11:21,2019-01-09 18:10:59
FLINK-10327,New Feature,2018-09-12 22:41:31,2018-10-01 22:05:23
FLINK-10328,Bug,2018-09-12 23:16:57,2018-09-14 21:16:56
FLINK-10329,Bug,2018-09-12 23:41:19,2018-09-14 21:17:07
FLINK-10330,Bug,2018-09-13 15:06:38,2018-09-20 17:57:06
FLINK-10331,Sub-task,2018-09-13 16:39:00,2018-09-20 03:35:43
FLINK-10332,Sub-task,2018-09-13 16:42:14,2018-09-20 03:37:00
FLINK-10333,Bug,2018-09-13 16:49:11,
FLINK-10334,Sub-task,2018-09-13 16:52:40,
FLINK-10335,Sub-task,2018-09-13 16:55:09,
FLINK-10336,Sub-task,2018-09-13 16:56:16,
FLINK-10337,Sub-task,2018-09-13 16:57:47,
FLINK-10338,Sub-task,2018-09-13 16:58:31,
FLINK-10339,Improvement,2018-09-13 18:38:29,2018-10-01 18:18:05
FLINK-10340,Sub-task,2018-09-13 18:50:14,2018-10-18 22:13:19
FLINK-10341,Improvement,2018-09-13 21:19:01,2018-09-19 12:45:49
FLINK-10342,Bug,2018-09-13 22:50:46,2019-02-28 19:20:31
FLINK-10343,Improvement,2018-09-13 23:33:33,2019-02-25 20:35:53
FLINK-10344,Sub-task,2018-09-14 00:07:52,
FLINK-10346,Bug,2018-09-14 21:35:48,
FLINK-10347,Bug,2018-09-15 01:08:19,2018-12-05 16:54:52
FLINK-10348,New Feature,2018-09-15 11:23:13,2019-06-20 09:18:48
FLINK-10349,Improvement,2018-09-15 15:22:00,2018-11-22 00:52:01
FLINK-10350,New Feature,2018-09-15 23:19:16,2018-09-17 02:47:17
FLINK-10351,New Feature,2018-09-17 02:46:11,2018-11-03 21:46:31
