fileName,Ranked1,Ranked2,Ranked3,Top1_overlap,Top3_overlap,IL/Ins
"shiro-1.3.0(1.2.6,1.2.5,1.2.4,1.2.3,1.2.2,1.2.1,1.2.0,1.1.0).csv",-17,-30,-26,0.0,0.0,0.00192466318394281
"shiro-1.2.6(1.2.5,1.2.4,1.2.3,1.2.2,1.2.1,1.2.0,1.1.0).csv",0,-39,-5,1.0,0.2,0.001892147587511826
"shiro-1.2.5(1.2.4,1.2.3,1.2.2,1.2.1,1.2.0,1.1.0).csv",-7,-3,-32,0.0,0.0,0.0018484288354898336
"shiro-1.2.4(1.2.3,1.2.2,1.2.1,1.2.0,1.1.0).csv",-14,-22,-36,0.0,0.0,0.001786511835640911
"shiro-1.2.3(1.2.2,1.2.1,1.2.0,1.1.0).csv",-8,-4,-39,0.0,0.0,0.001692047377326565
"shiro-1.2.2(1.2.1,1.2.0,1.1.0).csv",-19,1,-10,0.0,0.2,0.0015290519877675841
"shiro-1.2.1(1.2.0,1.1.0).csv",-3,-6,-21,0.0,0.0,0.001184834123222749
mahout-0.13.0(0.12.0).csv,0,0,-20,1.0,0.5,0.00089126559714795
"mahout-0.13.0(0.12.0,0.11.0).csv",-21,-3,-3,0.0,0.0,0.0008775778850372971
"mahout-0.13.0(0.12.0,0.11.0,0.10.0).csv",0,-1,-5,1.0,0.5,0.0008743806470416788
"mahout-0.13.0(0.12.0,0.11.0,0.10.0,0.9).csv",-6,-1,-2,0.0,0.2,0.0008697542944118286
mahout-0.11.0(0.10.0).csv,0,-1,-40,1.0,0.5,0.0008680555555555555
"mahout-0.12.0(0.11.0,0.10.0).csv",-36,-3,-28,0.0,0.0,0.0008661758336942399
mahout-0.12.0(0.11.0).csv,0,-7,0,1.0,0.5,0.000864304235090752
"mahout-0.12.0(0.11.0,0.10.0,0.9).csv",0,-11,-36,1.0,0.2,0.0008628127696289905
"mahout-0.11.0(0.10.0,0.9).csv",0,-2,-3,1.0,0.2,0.0008620689655172414
mahout-0.10.0(0.9).csv,0,-28,0,1.0,0.5,0.0008561643835616438
"mahout-0.13.0(0.12.0,0.11.0,0.10.0,0.9,0.8).csv",0,-1,1,1.0,1.0,0.0006821282401091405
"mahout-0.12.0(0.11.0,0.10.0,0.9,0.8).csv",0,-5,-2,1.0,0.2,0.0006326444538169548
"mahout-0.13.0(0.12.0,0.11.0,0.10.0,0.9,0.8,0.7).csv",0,0,-2,1.0,0.5,0.0005719187875321705
"mahout-0.11.0(0.10.0,0.9,0.8).csv",0,-2,-25,1.0,0.2,0.0005578800557880056
"mahout-0.12.0(0.11.0,0.10.0,0.9,0.8,0.7).csv",0,0,-1,1.0,0.5,0.0005108991825613079
"mahout-0.13.0(0.12.0,0.11.0,0.10.0,0.9,0.8,0.7,0.6).csv",0,0,0,1.0,1.0,0.000484202881007142
"mahout-0.13.0(0.12.0,0.11.0,0.10.0,0.9,0.8,0.7,0.6,0.5).csv",0,0,0,1.0,1.0,0.00042744176106005556
"mahout-0.11.0(0.10.0,0.9,0.8,0.7).csv",0,0,0,1.0,1.0,0.0004241781548250265
"mahout-0.12.0(0.11.0,0.10.0,0.9,0.8,0.7,0.6).csv",0,-1,-4,1.0,0.5,0.00042022692253817064
