issueKey,type,createdDateEpoch,resolvedDateEpoch
FLINK-7188,Improvement,2017-07-14 16:23:13,2017-07-31 20:00:13
FLINK-7189,Improvement,2017-07-14 16:23:24,2017-07-19 03:01:17
FLINK-7190,Improvement,2017-07-14 16:36:25,2017-07-25 19:32:33
FLINK-7191,Improvement,2017-07-14 16:59:34,2017-08-01 00:25:57
FLINK-7192,Improvement,2017-07-14 16:59:50,2017-07-31 20:01:35
FLINK-7193,Improvement,2017-07-14 17:41:59,
FLINK-7194,Improvement,2017-07-14 18:05:45,2017-07-22 19:34:53
FLINK-7195,Bug,2017-07-14 19:44:03,2017-07-28 23:25:15
FLINK-7196,Sub-task,2017-07-14 20:29:06,2017-10-21 17:40:57
FLINK-7197,Bug,2017-07-15 02:14:16,2017-07-19 22:53:10
FLINK-7198,Bug,2017-07-15 04:17:50,
FLINK-7199,Bug,2017-07-15 04:54:20,2017-09-15 23:10:01
FLINK-7200,Improvement,2017-07-15 05:18:00,2017-07-17 02:08:13
FLINK-7201,Bug,2017-07-15 10:35:14,2017-07-31 17:25:55
FLINK-7202,Sub-task,2017-07-15 17:15:32,2017-07-25 19:36:15
FLINK-7203,Wish,2017-07-16 15:52:48,2017-07-21 16:56:37
FLINK-7204,New Feature,2017-07-16 19:24:08,2017-07-20 03:21:23
FLINK-7205,Sub-task,2017-07-17 07:47:39,2018-08-14 20:09:48
FLINK-7206,Sub-task,2017-07-17 16:31:53,2017-08-30 04:15:25
FLINK-7207,Sub-task,2017-07-17 16:34:09,2019-01-30 18:29:03
FLINK-7208,Sub-task,2017-07-17 16:35:07,2018-12-27 10:35:59
FLINK-7209,Sub-task,2017-07-17 16:41:30,
FLINK-7210,Improvement,2017-07-17 17:20:28,2017-08-07 15:08:27
FLINK-7211,Improvement,2017-07-17 17:29:54,2017-07-24 17:09:29
FLINK-7212,Bug,2017-07-17 20:34:17,2017-07-18 22:12:23
FLINK-7213,Improvement,2017-07-17 21:00:38,2017-08-15 21:01:52
FLINK-7214,New Feature,2017-07-18 01:00:05,
FLINK-7215,Bug,2017-07-18 01:50:52,2017-08-03 16:30:00
FLINK-7216,Bug,2017-07-18 03:33:10,2017-11-08 21:30:57
FLINK-7217,Improvement,2017-07-18 16:14:50,
FLINK-7218,Bug,2017-07-18 21:42:20,2017-11-08 21:30:06
FLINK-7219,Bug,2017-07-18 21:54:19,2018-03-29 23:03:41
FLINK-7220,Improvement,2017-07-18 23:10:25,2017-07-28 20:00:34
FLINK-7221,Bug,2017-07-19 01:10:50,2018-03-12 23:35:26
FLINK-7222,Bug,2017-07-19 09:29:10,2017-07-19 22:52:55
FLINK-7223,Improvement,2017-07-19 12:43:18,2017-10-04 06:16:16
FLINK-7224,Improvement,2017-07-19 14:15:43,2017-07-24 11:58:53
FLINK-7225,Bug,2017-07-19 18:31:04,2017-11-08 21:29:33
FLINK-7226,Bug,2017-07-19 19:50:15,2017-07-26 20:56:42
FLINK-7227,Bug,2017-07-19 19:55:29,2018-03-12 23:35:52
FLINK-7228,Improvement,2017-07-19 20:37:14,2017-07-25 18:09:58
FLINK-7229,Bug,2017-07-19 21:06:22,2017-07-19 21:36:55
FLINK-7230,Bug,2017-07-19 22:07:53,2017-07-20 19:13:55
FLINK-7231,Bug,2017-07-20 00:15:45,2017-11-08 21:29:15
FLINK-7232,Improvement,2017-07-20 02:43:59,2017-07-21 15:13:00
FLINK-7233,Improvement,2017-07-20 02:52:42,2017-11-08 21:28:27
FLINK-7234,Bug,2017-07-20 02:55:30,2017-07-26 22:34:07
FLINK-7235,Sub-task,2017-07-20 05:18:51,2019-03-16 01:19:17
FLINK-7236,Bug,2017-07-20 05:20:01,2017-08-08 19:08:33
FLINK-7237,Sub-task,2017-07-20 05:20:16,2019-03-16 01:22:16
FLINK-7238,Bug,2017-07-20 15:46:17,
FLINK-7239,Bug,2017-07-20 20:30:41,
FLINK-7240,Bug,2017-07-21 02:24:29,2017-08-10 17:22:19
FLINK-7241,Bug,2017-07-21 23:40:50,2017-07-26 16:59:07
FLINK-7242,Task,2017-07-22 08:18:00,2017-11-06 22:36:39
FLINK-7243,Sub-task,2017-07-23 19:11:36,2019-02-26 06:34:55
FLINK-7244,Sub-task,2017-07-23 19:14:58,2019-07-11 09:04:18
FLINK-7245,New Feature,2017-07-23 20:41:30,2017-08-30 04:16:32
FLINK-7246,Bug,2017-07-23 22:08:17,2017-07-30 13:46:16
FLINK-7247,Sub-task,2017-07-24 16:24:37,2017-07-26 18:18:24
FLINK-7248,Bug,2017-07-24 16:28:16,2017-07-28 23:22:05
FLINK-7249,Sub-task,2017-07-24 16:37:20,2017-07-31 20:01:10
FLINK-7250,Sub-task,2017-07-24 16:37:48,2017-07-31 20:00:46
FLINK-7251,Improvement,2017-07-24 16:43:02,2018-07-20 14:25:45
FLINK-7252,Improvement,2017-07-24 16:43:44,2017-08-03 19:55:08
FLINK-7253,Sub-task,2017-07-24 16:45:28,2017-07-31 20:00:30
FLINK-7254,Sub-task,2017-07-24 20:00:17,2017-07-26 18:18:09
FLINK-7255,Bug,2017-07-24 21:03:57,2017-07-25 19:32:08
FLINK-7256,Improvement,2017-07-24 21:09:23,2017-07-25 19:32:20
FLINK-7257,Improvement,2017-07-24 22:00:03,2017-07-26 18:16:31
FLINK-7258,Bug,2017-07-24 23:32:41,2017-07-25 22:11:30
FLINK-7259,Bug,2017-07-25 15:49:49,2019-10-25 17:44:51
FLINK-7260,Bug,2017-07-25 18:33:19,2017-08-11 19:42:33
FLINK-7261,Sub-task,2017-07-25 19:00:05,2017-10-06 17:49:21
FLINK-7262,Sub-task,2017-07-25 19:05:14,2017-10-21 17:45:56
FLINK-7263,Improvement,2017-07-25 20:24:35,2017-07-31 16:21:04
FLINK-7264,Bug,2017-07-25 21:33:11,2017-07-26 18:16:45
FLINK-7265,Improvement,2017-07-25 23:29:28,2018-03-12 23:36:11
FLINK-7266,Bug,2017-07-25 23:32:27,2017-11-18 00:23:11
FLINK-7267,Improvement,2017-07-26 14:13:05,
FLINK-7268,Bug,2017-07-26 16:55:20,2017-08-15 21:04:43
FLINK-7269,Improvement,2017-07-26 17:09:12,2017-08-21 01:28:57
FLINK-7270,Improvement,2017-07-26 17:11:02,2019-10-25 17:46:16
FLINK-7271,Improvement,2017-07-26 17:21:02,
FLINK-7272,New Feature,2017-07-26 17:25:17,
FLINK-7273,Bug,2017-07-26 22:40:34,2017-09-15 23:10:14
FLINK-7274,Bug,2017-07-26 22:55:58,2017-07-27 16:35:50
FLINK-7275,Improvement,2017-07-27 03:03:15,
FLINK-7276,Improvement,2017-07-27 03:19:40,
FLINK-7277,New Feature,2017-07-27 03:59:26,
FLINK-7278,Bug,2017-07-27 12:45:26,2019-10-25 17:46:47
FLINK-7279,Bug,2017-07-27 16:33:04,2017-07-31 01:55:05
FLINK-7280,Bug,2017-07-27 16:43:31,2017-08-02 16:49:32
FLINK-7281,Bug,2017-07-27 16:53:52,2017-07-29 03:43:39
FLINK-7282,New Feature,2017-07-27 18:57:46,
FLINK-7283,Bug,2017-07-27 22:10:35,2018-03-16 03:51:04
FLINK-7284,Improvement,2017-07-27 22:29:31,2019-10-25 17:47:27
FLINK-7285,Improvement,2017-07-27 23:34:29,2019-10-25 17:48:03
FLINK-7286,Improvement,2017-07-27 23:59:37,
FLINK-7287,Improvement,2017-07-28 00:12:00,2017-07-28 23:21:21
FLINK-7288,Improvement,2017-07-28 16:20:01,
FLINK-7289,Improvement,2017-07-28 16:20:20,
FLINK-7290,Improvement,2017-07-28 18:31:58,2017-07-29 03:42:36
FLINK-7291,Bug,2017-07-28 20:19:08,
FLINK-7292,Sub-task,2017-07-28 20:32:35,2017-10-12 18:04:19
FLINK-7293,Sub-task,2017-07-28 20:50:23,2017-08-08 15:28:41
FLINK-7294,Bug,2017-07-28 21:26:03,2018-03-12 23:29:05
FLINK-7295,Sub-task,2017-07-28 21:52:09,2017-07-31 17:24:24
FLINK-7296,Improvement,2017-07-28 23:03:01,2019-10-25 17:50:14
FLINK-7297,Bug,2017-07-29 00:16:23,2017-08-29 23:25:30
FLINK-7298,Improvement,2017-07-31 10:01:18,2017-08-08 00:27:53
FLINK-7299,Improvement,2017-07-31 12:49:24,2017-09-01 16:51:37
FLINK-7300,Bug,2017-07-31 14:07:41,2017-11-29 19:10:40
FLINK-7301,Improvement,2017-07-31 16:24:36,2017-08-08 20:08:08
FLINK-7302,Bug,2017-07-31 17:37:42,2017-08-03 17:32:37
FLINK-7303,Sub-task,2017-07-31 17:56:24,2017-08-02 20:47:51
FLINK-7304,Sub-task,2017-07-31 17:58:11,2017-08-02 20:47:38
FLINK-7305,Sub-task,2017-07-31 18:32:51,2017-08-02 20:48:36
FLINK-7306,Bug,2017-07-31 19:38:33,2017-08-03 16:58:56
FLINK-7307,Improvement,2017-07-31 19:40:09,2019-10-18 19:34:12
